178,"鹿"
drawn_by_tony_taka,"田中貴之"
drawn_by_tooru_fujisawa,"藤澤亨"
drawn_by_toshiyuki_kotani,"小谷智之"
drawn_by_toshiyuki_kubooka,"窪岡俊之"
drawn_by_tove_jannson,"朵贝杨笙"
drawn_by_tracey_emin,"翠西艾敏"
drawn_by_tsunako,"tsunako"
drawn_by_tsuyoshi_nagano,"長野剛"
drawn_by_tyson_tan,"譚代山"
drawn_by_utagawa_kuniyoshi,"歌川国芳"
drawn_by_utamaro_kitagawa,"喜多川歌麿"
drawn_by_vashti_harrison,"vashtiharrison"
drawn_by_vincent_van_gogh,"文森威廉梵高"
drawn_by_waldemar_kazak,"waldemarkazak"
drawn_by_wanyan_aguda,"完颜阿骨打"
drawn_by_wassily_kandinsky,"瓦西里康定斯基"
drawn_by_wes_benscoter,"wesbenscoter"
drawn_by_wylie_beckert,"wyliebeckert"
drawn_by_xi_zhang,"xizhang"
drawn_by_yasuaki_kishimoto,"yasuakikishimoto"
drawn_by_yasuhiro_nightow,"內藤泰弘"
drawn_by_yasuhisa_yamamura,"山村康久"
drawn_by_yasushi_yamaguchi,"山口恭史"
drawn_by_yasuyuki_honne,"本根康之"
drawn_by_yoji_shinkawa,"新川洋司"
drawn_by_yoko_ono,"小野洋子"
drawn_by_yokoyama_taikan,"橫山大觀"
drawn_by_yoshiaki_koizumi,"小泉歡晃"
drawn_by_yoshitaka_amano,"天野喜孝"
drawn_by_yoshitomo_nara,"奈良美智"
drawn_by_yoshitoshi_abe,"安倍吉俊"
drawn_by_yuji_himukai,"yujihimukai"
drawn_by_yusuke_kozaki,"小崎祐介"
drawn_by_yusuke_murata,"村田雄介"
drawn_by_zdzisław_beksiński,"濟斯瓦夫貝克辛斯基"
dress_,"连衣裙"
drip_painting,"滴墨画"
drydock,"干船库,旱坞"
duotone,"双色版"
dynamic_angle,"动态姿势"
en_plein_air,"外光主義"
enamelled_glass,"瓷釉玻璃"
encaustic_painting,"瓷画"
endured_face,"忍耐的表情"
enma,"阎魔"
exposure_compensation,"曝光补偿"
exposure_stacking,"曝光叠加"
expressionless_eyes,"失神"
extremely_detailed_cg_unity_8k_wallpaper,"极高分辨率cg壁纸"
eyebrows_visible_through_hair,"透过头发可以看到的眉毛"
false_color,"伪色"
fate_grand_order,"fgo"
faux_bois,"木纹模仿"
faux_painting,"纹理绘画模仿"
female,"女人"
fences,"栏杆"
fill_flash,"填充闪光"
fill_light,"补光"
fingerpaint,"手指画"
first-person_view,"第一人称视角"
flat_lay_photography,"平放摄影"
flow,"流"
flower_petals_,"花瓣"
flower_sea,"花海"
flowers_meadows,"花田"
focus_stacking,"焦点合成"
foggy,"大雾"
football_helmet,"橄榄球头盔"
fore-edge_painting,"书口绘画"
fractal_burning,"分形燃烧"
freelensing,"离机镜头"
freeze_motion,"冻结帧"
fresco,"壁画"
fresco-secco,"干壁画"
fresco_painting,"湿壁画"
frilled_pantyhose,"带荷叶边的连裤袜"
fruit_insertion,"用水果蔬菜"
full_blush,"整张脸泛红"
garters,"吊带袜"
ghost_imaging,"鬼影"
ghoul,"食尸鬼"
gigapixel_image,"千兆数字信息图像"
gilding,"镀金"
girdling,"束腰"
glowing_light,"荧光"
glue-size,"涂胶上漆技术"
goddess,"女神"
golden_hour_lighting,"晨曦或晚霞"
golden_ratio,"黄金比例"
golden_triangle,"黄金三角形"
gradation,"渐变"
graining,"粒化"
grey_neckwear,"灰色颈饰,灰色领带"
grisaille,"纯灰色画"
guard_tower,"警卫塔,守卫塔"
gym_leader,"体操队队长"
haboku,"破墨"
hack//games,"hack//游戏"
hack//link,"hack//链接"
hair_one_side_up,"一侧绑发"
hair_two_side_up,"双侧绑发"
half_closed_eye,"半闭的眼睛(单眼)"
half_closed_eyes,"眼睛半闭"
halterneck_dress,"系在脖子后的连衣裙"
hand_colored_photo,"手绘照片"
hand_on_another's,"手接触到对方的脸"
hands_on_another's_breast,"手放在另一人的胸前"
hard_lighting,"硬光"
hdr,"hdr"
head_shot,"拍摄头部"
headphones_on_breasts,"耳机压胸"
headroom,"头上空间"
hemispherical_photography,"半球面影像技术"
hierarchical_proportion,"分层比例"
high_dynamic_range,"高动态范围"
high_grain_film,"高胶片颗粒效果"
high_key_lighting,"亮色调照明"
holography,"全息照相"
huge_filesize,"大文件体积"
huge_filesize_,"超级高分辨率/大文件"
humpbacked,"驼背"
hypergraphy,"超图"
ifrit,"伊夫利特"
illusionism,"幻觉主义"
illusionistic_ceiling_painting,"幻觉主义天花壁画"
illustration,"插画"
imp,"小恶魔"
in_autumn,"秋天,秋"
in_spring,"春天,春"
in_summer,"夏天,夏"
in_the_rain,"雨中"
in_winter,"冬天,冬"
industrial_painting,"工业涂装"
infinity_cove,"没有角落的全白空间"
information_art,"信息艺术"
infrared_photography,"红外照相"
intentional_camera_movement,"有意的摄像机运动"
kaleidoscope_photography,"万花筒摄影"
kalliroscope,"卡里尔显微镜"
kashmir_walnut_wood_carving,"克什米尔胡桃木雕刻"
keum-boo,"朝鲜古代贴金工艺"
kinematoscope,"立体电影放映机"
kinetic_photography,"动感摄影"
kirby_krackle,"科比克拉克尔"
kirlian,"kirlian相机"
klecksography,"墨迹艺术"
kohlrosing,"科尔罗斯"
kon,"康"
labia,"阴唇"
lacquer_painting,"漆器绘画"
lantern/lamp,"灯笼"
leaf_painting,"树叶画"
legwear,"裹腿"
lens_flares,"镜头眩光"
light_leaks,"漏光光效"
light_painting,"光影涂鸦"
light_trails,"光轨"
lighting_effect,"闪电"
lineography,"线形图"
lining_of_paintings,"绘画衬里"
loch_ness_monster_,"尼斯湖水怪"
lomography,"lomography"
long-exposure,"长曝光"
longma,"龙马"
low_key_lighting,"低调照明"
low_key_photography,"低调摄影"
low_quality,"低质量"
low_res,"低分辨率"
luminogram,"发光图"
lustre_prints,"光澤打印"
macaroni_art,"通心粉艺术"
maki-e,"莳绘"
marbleizing,"仿大理石纹"
marmotinto,"沙画"
marouflage,"贴画法"
masterpiece,"杰作"
matte_painting,"数字绘景"
mezzotint,"铜版雕刻"
micrograph,"微距摄影"
midday,"中午"
mimikaki_,"掏耳勺"
minaret,"宣礼塔"
miniature_faking,"西洋鏡效果"
mise_en_abyme,"miseenabyme"
missing_arms,"缺少手臂"
missing_fingers,"缺少手指"
moderate_pubic_hair,"中分的阴毛"
modern_european_ink_painting,"现代水墨画"
moody_lighting,"氛围光照"
mosque,"清真寺"
multidimensional_art,"多维艺术"
multiple_exposure,"多重曝光"
naughty,"下流的表情"
night_photography,"夜间摄影"
nocturne,"夜曲"
normal_quality,"一般质量"
nsfw,"不宜工作时观看"
nuclear_powerplant,"核电站,核电厂"
obverse_and_reverse,"双面硬币"
octane_render,"渲染"
oil_on_copper,"铜上油画"
oil_sketch,"油画速写"
old_master_print,"旧版原版"
one-piece_dress,"连衣裙"
opalotype,"opalotype"
orange_neckwear,"橙色颈饰,橙色领带"
organza_lace,"透明硬纱/蕾丝花边"
orotone,"金色調"
painted_in_the_style_of_abstract_art,"抽象艺术"
painted_in_the_style_of_abstract_expressionism,"抽象表现主义"
painted_in_the_style_of_abstract_illusionism,"抽象幻觉主义"
painted_in_the_style_of_action_painting,"动作绘画"
painted_in_the_style_of_aestheticism,"唯美主义"
painted_in_the_style_of_afrofuturism,"非洲未来派"
painted_in_the_style_of_altermodern,"后现代主义"
painted_in_the_style_of_american_barbizon_school,"美国巴比松画派"
painted_in_the_style_of_american_impressionism,"美国映像派"
painted_in_the_style_of_american_realism,"美国现实主义"
painted_in_the_style_of_american_scene_painting,"美国情景绘画"
painted_in_the_style_of_analytical_art,"分析艺术"
painted_in_the_style_of_ancient_art,"古代艺术"
painted_in_the_style_of_anti_art,"反传统艺术"
painted_in_the_style_of_antipodeans,"澳大利亞現代藝術"
painted_in_the_style_of_arabesque,"阿拉伯式花纹"
painted_in_the_style_of_art_brut,"原生艺术"
painted_in_the_style_of_art_deco,"有机线条艺术"
painted_in_the_style_of_art_informel,"无形式艺术"
painted_in_the_style_of_art_nouveau,"新艺术派"
painted_in_the_style_of_art_photography,"艺术摄影"
painted_in_the_style_of_arte_povera,"贫穷艺术"
painted_in_the_style_of_arts_and_crafts_movement,"工艺美术运动"
painted_in_the_style_of_ascii_art,"ascii艺术"
painted_in_the_style_of_ashcan_school,"垃圾箱画派"
painted_in_the_style_of_assemblage,"装配艺术"
painted_in_the_style_of_australian_tonalism,"澳大利亚音调"
painted_in_the_style_of_auto_destructive_art,"自毁艺术"
painted_in_the_style_of_avant_garde,"先锋派"
painted_in_the_style_of_barbizon_school,"巴比松画派"
painted_in_the_style_of_baroque,"巴洛克风格"
painted_in_the_style_of_bauhaus,"鲍豪斯建筑学派"
painted_in_the_style_of_bengal_school_of_art,"孟加拉画派"
painted_in_the_style_of_berlin_secession,"柏林分离派"
painted_in_the_style_of_brutalism,"粗犷主义"
painted_in_the_style_of_classical_realism,"古典现实主义"
painted_in_the_style_of_classicism,"古典主义"
painted_in_the_style_of_cloisonnism,"分隔主义"
painted_in_the_style_of_color_field,"色面绘画"
painted_in_the_style_of_computer_art,"电脑艺术"
painted_in_the_style_of_conceptual_art,"概念艺术"
painted_in_the_style_of_concrete_art,"具体艺术"
painted_in_the_style_of_crystal_cubism,"水晶立体主义"
painted_in_the_style_of_cubism,"立体主义"
painted_in_the_style_of_cubo_futurism,"立体未来主义"
painted_in_the_style_of_cynical_realism,"玩世现实主义"
painted_in_the_style_of_dadaism,"达达主义"
painted_in_the_style_of_dansaekhwa,"单色画"
painted_in_the_style_of_dau_al_set,"加泰羅尼亞藝術運動"
painted_in_the_style_of_de_stijl,"风格派"
painted_in_the_style_of_deconstructivism,"解构主义"
painted_in_the_style_of_ecological_art,"生态艺术"
painted_in_the_style_of_environmental_art,"环境艺术"
painted_in_the_style_of_excessivism,"过度主义"
painted_in_the_style_of_expressionism,"表现主义"
painted_in_the_style_of_fantastic_realism,"幻想现实主义"
painted_in_the_style_of_fauvism,"野兽派"
painted_in_the_style_of_feminist_art,"女性主义艺术"
painted_in_the_style_of_figuration_libre,"自由具象艺术"
painted_in_the_style_of_figurative_art,"具象艺术"
painted_in_the_style_of_fine_art,"美术"
painted_in_the_style_of_fluxus,"激浪派"
painted_in_the_style_of_folk_art,"民俗艺术"
painted_in_the_style_of_funk_art,"芬克艺术"
painted_in_the_style_of_futurism,"未来主义"
painted_in_the_style_of_geometric_abstract_art,"几何抽象艺术"
painted_in_the_style_of_geometric_art,"几何艺术"
painted_in_the_style_of_glitch_art,"故障艺术"
painted_in_the_style_of_gothic_art,"哥特式艺术"
painted_in_the_style_of_graffiti,"涂鸦"
painted_in_the_style_of_gutai_group,"具体派"
painted_in_the_style_of_harlem_renaissance,"哈莱姆文艺复兴"
painted_in_the_style_of_heidelberg_school,"海德堡画派"
painted_in_the_style_of_hudson_river_school,"哈德逊河画派"
painted_in_the_style_of_hurufiyya,"胡鲁菲亚"
painted_in_the_style_of_hypermodernism,"超现代主义艺术"
painted_in_the_style_of_hyperrealism,"高度写实主义"
painted_in_the_style_of_impressionism,"印象派"
painted_in_the_style_of_interactive_art,"交互艺术"
painted_in_the_style_of_international_gothic,"国际哥特式艺术"
painted_in_the_style_of_international_typographic_style,"国际平面设计主义"
painted_in_the_style_of_japonism,"日本主义"
painted_in_the_style_of_kinetic_art,"动态艺术"
painted_in_the_style_of_kinetic_pointillism,"动感点彩主义"
painted_in_the_style_of_kitsch_movement,"媚俗运动"
painted_in_the_style_of_les_nabis,"纳比派"
painted_in_the_style_of_letterism,"字句主义"
painted_in_the_style_of_lyco_art,"lycoart"
painted_in_the_style_of_lyrical_abstraction,"抒情抽象"
painted_in_the_style_of_magical_realism,"魔幻现实主义"
painted_in_the_style_of_mail_art,"邮件艺术"
painted_in_the_style_of_mannerism,"矫饰主义"
painted_in_the_style_of_massurrealism,"大众超现实主义"
painted_in_the_style_of_maximalism,"极繁主义"
painted_in_the_style_of_metaphysical_painting,"形而上画派"
painted_in_the_style_of_modern_art,"现代艺术"
painted_in_the_style_of_modern_european_ink_painting,"现代墨水画"
painted_in_the_style_of_modernism,"现代主义"
painted_in_the_style_of_modular_constructivism,"模块建构主义"
painted_in_the_style_of_naive_art,"素朴艺术"
painted_in_the_style_of_nature_art,"自然艺术"
painted_in_the_style_of_neo_dadaism,"新达达主义"
painted_in_the_style_of_neo_expressionism,"新表现主义"
painted_in_the_style_of_neo_fauvism,"新野兽主义"
painted_in_the_style_of_neo_figurative,"新具象艺术"
painted_in_the_style_of_neo_impressionism,"新印象主义"
painted_in_the_style_of_neo_primitivism,"新原始主义"
painted_in_the_style_of_neo_romanticism,"新浪漫主义"
painted_in_the_style_of_neoclassicism,"新古典主义"
painted_in_the_style_of_neogeo_art,"新几何概念主义"
painted_in_the_style_of_neoism,"标新主义"
painted_in_the_style_of_net_art,"网络艺术"
painted_in_the_style_of_new_objectivity,"新即物主义"
painted_in_the_style_of_northwest_school,"西北派"
painted_in_the_style_of_objective_abstraction,"客观抽象"
painted_in_the_style_of_op_art,"光效应艺术"
painted_in_the_style_of_orphism,"奥费主义"
painted_in_the_style_of_panfuturism,"乌克兰前卫艺术运动"
painted_in_the_style_of_paris_school,"巴黎画派"
painted_in_the_style_of_performance_art,"行为艺术"
painted_in_the_style_of_photorealism,"照相写实主义"
painted_in_the_style_of_pixel_art,"像素艺术"
painted_in_the_style_of_plein_air,"外光派画法"
painted_in_the_style_of_pointillism,"点彩画法"
painted_in_the_style_of_pop_art,"波普艺术"
painted_in_the_style_of_portraiture,"画像技法"
painted_in_the_style_of_post_impressionism,"后印象派"
painted_in_the_style_of_postminimalism,"后极简主义"
painted_in_the_style_of_postmodern_art,"后现代艺术"
painted_in_the_style_of_pre_raphaelitism,"拉斐尔前派"
painted_in_the_style_of_precisionism,"精确主义"
painted_in_the_style_of_primitivism,"原始主义"
painted_in_the_style_of_psychedelic_art,"迷幻艺术"
painted_in_the_style_of_purism,"纯粹主义"
painted_in_the_style_of_qajar_art,"卡贾尔艺术"
painted_in_the_style_of_quito_school,"基多画派"
painted_in_the_style_of_rasquache,"里斯卡奇"
painted_in_the_style_of_realism,"现实主义风格"
painted_in_the_style_of_regionalism,"地域主义"
painted_in_the_style_of_remodernism,"再現代主義"
painted_in_the_style_of_renaissance,"文艺复兴"
painted_in_the_style_of_retrofuturism,"复古未来主义"
painted_in_the_style_of_rococo,"洛可可风格"
painted_in_the_style_of_romanesque,"罗马风"
painted_in_the_style_of_romanticism,"浪漫主义"
painted_in_the_style_of_samikshavad,"现代印度土著艺术运动"
painted_in_the_style_of_serial_art,"系列艺术"
painted_in_the_style_of_shin_hanga,"新版画运动"
painted_in_the_style_of_shock_art,"冲击艺术"
painted_in_the_style_of_socialist_realism,"社会主义现实主义"
painted_in_the_style_of_sosaku_hanga,"创作版画"
painted_in_the_style_of_sots_art,"俄罗斯波普艺术"
painted_in_the_style_of_street_art,"街头艺术"
painted_in_the_style_of_stuckism,"反概念运动"
painted_in_the_style_of_sumatraism,"苏门答腊主义"
painted_in_the_style_of_superflat,"超扁平风格"
painted_in_the_style_of_suprematism,"至上主义"
painted_in_the_style_of_surrealism,"超现实主义"
painted_in_the_style_of_surrealist_art,"超现实主义艺术"
painted_in_the_style_of_symbolism,"象征主义"
painted_in_the_style_of_synchromism,"色彩交响主义"
painted_in_the_style_of_synthetism,"综合主义"
painted_in_the_style_of_tonalism,"色调主义"
painted_in_the_style_of_toyism,"玩具主義"
painted_in_the_style_of_typography,"印刷术"
painted_in_the_style_of_ukiyo_e,"浮世绘"
painted_in_the_style_of_underground_comix,"地下漫画"
painted_in_the_style_of_vanitas,"虛空派"
painted_in_the_style_of_verdadism,"真理主义"
painted_in_the_style_of_video_art,"视频艺术"
painted_in_the_style_of_viennese_actionism,"维也纳行为主义"
painted_in_the_style_of_vorticism,"旋涡画派"
painted_photography_backdrops,"彩绘摄影背景幕布"
palm,"以手掩面"
pastel_color,"粉彩"
pastiglia,"意大利浮雕装饰"
penetration,"异物插入"
perspective_control,"透视校正"
perspective_distortion,"透视畸变"
pettiskirt,"蓬蓬裙"
pharmacy,"药店"
photo,"照片"
photo-referencing,"照片参考"
photo_manipulation,"图片处理"
photochrom,"彩色照片"
photographic_print_toning,"摄影印刷品调色"
pinhole,"针孔镜头"
pink_neckwear,"粉色颈饰,粉色领带"
pinstriping,"纹路"
polaroid_art,"宝丽来艺术"
polychrome,"多色的"
poster_artist,"海报画家"
posterization,"色调分离"
powerplant,"发电厂"
print_toning,"打印调色"
protoquadro,"数字技术protoquadro"
pseudorealism,"伪现实主义"
purple_neckwear,"紫色颈饰,紫色领带"
qilin,"麒麟"
quadro_riportato,"运输绘画"
quilting,"绗缝"
rainy,"雨天"
rainy_days,"雨天"
rapid_visualization,"快速视觉化"
ray_tracing,"光线追踪"
redscale,"redscale胶卷"
refinery,"炼油厂,精炼厂"
reflection_light,"反射光"
representation,"描绘"
rule_of_thirds,"三分法"
salon,"沙龙"
samurai_sword,"武士刀"
sandpainting,"与彩砂绘画"
satan,"撒旦"
saturated_colors,"网络饱和色"
scenary,"风景"
screentone,"网点"
selective_color,"选定颜色"
selfiemirror,"自拍镜"
sex_shop,"性用品店"
shaded,"阴沉脸"
shallow_focus,"浅景深"
shaved_pussy,"剃过阴毛的阴道,剃过阴毛的"
sheath_dress,"包臀裙"
shoot_through_effects,"穿透效果"
shower,"淋浴"
side_swept_bangs,"朝一个方向的刘海"
skyscrapers,"摩天大楼"
smiley,"笑脸"
snowing_day,"下雪"
soft_lighting,"柔光"
speed_painting,"速写"
spirit_photography,"灵魂摄影"
split_lighting,"分割照明"
sprocket_hole_photography,"链轮小孔摄影"
staff_room,"员工室,职员休息室"
stain_glass,"染色玻璃"
star_sky,"星空"
stars,"星星"
steel_wool_photography,"光绘摄影"
strong_rim_light,"轮廓光"
studio_lighting,"工作室光照"
style_of_8_bit_game,"8bit游戏"
style_of_a_1980s_anime,"1980年代的动画"
style_of_a_1980s_sitcom,"1980年代的电视情景喜剧"
style_of_a_20s_movie,"20年代电影"
style_of_a_60s_movie,"60年代电影"
style_of_a_80s_movie,"80年代电影"
style_of_a_90s_movie,"90年代电影"
style_of_a_anime,"动画"
style_of_a_catgirl,"猫女孩dc"
style_of_a_disney_movie,"迪士尼电影"
style_of_a_doom,"毁灭战士"
style_of_a_goth,"哥特摇滚"
style_of_a_hairy_man,"毛发旺盛的男人"
style_of_a_idol,"偶像"
style_of_a_mascot,"吉祥物"
style_of_a_masculine_man,"阳刚的男人"
style_of_a_metalhead,"重金属乐迷"
style_of_a_pop_singer,"流行歌手"
style_of_a_poster,"海报"
style_of_a_propaganda_poster,"政治宣传海报"
style_of_a_punk_rocker,"朋克摇滚乐手"
style_of_amagami,"圣诞之吻"
style_of_an_octopus,"章鱼"
style_of_arknights,"明日方舟"
style_of_azur_lane,"碧蓝航线"
style_of_bang_dream!,"邦邦"
style_of_blade_runner,"银翼杀手"
style_of_borderlands,"无主之地"
style_of_bubble_bobble,"泡泡龙"
style_of_castlevania,"恶魔城"
style_of_cyberpunk,"赛博朋克"
style_of_cygames,"cygames"
style_of_david_lynch,"大卫·林奇导演电影"
style_of_decus_ex,"杀出重围"
style_of_disgaea,"魔界战记"
style_of_disney,"迪斯尼"
style_of_doki_doki_panic,"心跳冒险"
style_of_dragon_age,"龙腾世纪"
style_of_dragonball,"龙珠"
style_of_el_cazador_de_la_bruja,"魔女猎人"
style_of_elderscrolls,"上古卷轴"
style_of_event_horizon,"事件视界"
style_of_fallout,"辐射"
style_of_fantasy,"幻想风"
style_of_final_fantasy,"最终幻想"
style_of_fist_of_the_north_star,"北斗神拳"
style_of_garbage_pail_kids,"垃圾桶小子"
style_of_genshin_impact,"原神"
style_of_ghost_in_the_shell,"攻壳机动队"
style_of_ghostbusters,"捉鬼敢死队"
style_of_gochuumon_wa_usagi_desu_ka,"点兔"
style_of_granblue_fantasy,"碧蓝幻想"
style_of_harry_potter,"哈利波特"
style_of_hellraiser,"猛鬼追魂"
style_of_junji_ito,"伊藤润二"
style_of_kermit,"青蛙科米"
style_of_lego,"乐高"
style_of_lgbtq,"lgbtq"
style_of_lord_of_the_rings,"指环王"
style_of_love_live!,"lovelive"
style_of_lowpoly,"低多边形"
style_of_lupin,"鲁邦三世"
style_of_marceline_from_adventure_time,"探险活宝马瑟琳"
style_of_marvel,"漫威"
style_of_masamune_shirow,"士郎正宗作品"
style_of_minecraft,"我的世界"
style_of_neon_genesis_evangrlion,"新世纪福音战士"
style_of_one_punch_man,"一拳超人"
style_of_pixar,"皮克斯动画"
style_of_poison_ivy,"毒药艾薇dc"
style_of_princess_bubblegum_from_adventure_time,"探险时光泡泡堂公主"
style_of_resident_evil,"生化危机"
style_of_robocop,"机械战警"
style_of_satoshi_kon,"今敏作品"
style_of_satoshi_urushihara,"漆原智志作品"
style_of_scifi,"科幻作品"
style_of_silent_hill,"寂静岭"
style_of_skyrim,"上古卷轴5"
style_of_spiderman,"蜘蛛侠"
style_of_star_trek,"星际迷航"
style_of_star_wars,"星球大战"
style_of_stardew_valley,"星露谷物语"
style_of_super_mario,"超级马里奥"
style_of_the_legend_of_zelda,"塞尔达传说"
style_of_the_matrix,"黑客帝国"
style_of_the_simpsons,"辛普森一家"
style_of_tomb_raider,"古墓丽影"
style_of_undertale,"undertale传说之下"
style_of_unreal_torunament,"虚幻竞技场"
style_of_vaporwave,"蒸汽波音乐"
style_of_visual_novel,"视觉小说"
sunny,"晴天"
tamakericzx,"蛋疼"
tempera,"蛋彩画法"
theorem_stencil,"定理模板畫"
three_sided_view,"三视图"
tiltshift,"移轴镜头"
tinted_photograph,"有色照片"
tortilla_art,"玉米粉薄烙餅藝術"
trapeze_dress,"上窄下宽没有腰线的连衣裙,梯形连衣裙"
tyndall_effect,"丁达尔效应"
ultraviolet_photography,"紫外线照相"
uma_pyoi_densetsu,"umapyoi浓密苏"
username,"含用户名"
very_long_hair_,"很长的头发"
vingette,"圖像框架"
vintage_photography,"怀旧色彩的摄影图片"
vitreography,"玻璃照相術"
volumetric_lighting,"体积光"
wallpaper,"壁纸"
warlock,"术士"
water_pastel_color,"水彩"
watercolor_paper,"水彩画纸"
white_neckwear,"白色颈饰,白色领带"
worst_quality,"糟糕质量"
wyrm,"蛟龙"
yellow_crop_top,"黄色裁剪上衣"
yellow_neckwear,"黄色颈饰,黄色领带"
zoom_blur,"缩放模糊"
zoom_burst,"变焦爆裂"
🎇,"🎇"
🌌,"🌌"
no_fire,"无火化"
air_quotes,"引号手势"
finger_quotes,"引号手势"
heart_hands_trio,"三个人用手比心"
slit_throat_(gesture),"割喉手势"
throat-slitting_gesture,"割喉手势"
cutthroat_gesture,"割喉手势"
ohikaenasutte,"要求自我介绍"
shocker_(gesture),"爽歪歪(手势)"
orchid_fingers,"兰花指"
full_scorpion,"头扑倒在地"
scorpion_pose,"蝎子姿势"
flat_envy,"平胸歧视"
nipple_hair,"乳头毛"
nursing_bra,"哺乳用文胸"
chest_binder,"平胸衬衫"
tied_breast,"绑起来的乳房"
sepia_dress,"红棕色连衣裙"
flag_dress,"国旗连衣裙"
half-dress,"半开裙"
guilt,"有罪的"
concerned,"担忧的"
tired,"累"
(-3-),"嘟嘴"
>_@,">@"
=^=,"=^="
=v=,"=v="
aegyo_sal,"眼袋"
mako_eyes,"魔眼"
amphibian_eyes,"两栖动物的眼睛"
quin_tails,"有五股辫子"
hair_bikini,"头发比基尼"
friendship_charm,"友情护身符"
striped_neckwear,"条纹衣领"
bread_crust,"面包皮"
arare,"粗米饼"
empanada,"恩巴纳达"
lasagne,"千层面"
lasagna,"千层面"
black_spaghetti,"黑色意大利面"
italian_(niigata),"意大利面（新潟）"
nanakusa-no-sekku,"喝七草粥的日子"
risotto,"烩饭"
furikake,"拌饭素"
black_pepper,"胡椒"
eggnog,"蛋酒"
non-alcoholic_beer,"非酒精啤酒"
guinness_(beer),"健力士黑啤酒(啤酒)"
caesar_(drink),"凯撒鸡尾酒"
margarita,"玛格丽塔"
cafe_au_lait,"咖啡加牛奶"
dandelion_coffee,"蒲公英咖啡"
amazake,"甘酒"
7up,"7up"
root_beer,"根汁啤酒"
barley_tea,"燕麦茶"
darjeeling_tea,"达吉岭茶"
earl_grey_tea,"伯爵茶"
herbal_tea,"草药茶"
rose_hip_tea,"茉莉花茶"
spear_mint_tea,"薄荷茶"
akebia_fruit,"阿科比"
blackberry,"黑莓"
cacao_fruit,"可可果"
cocoa_fruit,"可可果"
gooseberry,"猕猴桃"
currant,"小葡萄干"
kiwi,"猕猴桃"
lime,"青柠"
mangosteen,"山竹"
honeydew,"蜜瓜"
nashi_pear,"黄金梨"
rambutan,"红毛丹"
shumai,"烧卖"
tang_yuan,"汤圆"
megamac,"超级汉堡"
katsu,"日式炸鸡排"
katsudon,"日式猪排饭"
konnyaku,"蒟蒻"
ribs_(food),"排骨"
stinky_tofu,"臭豆腐"
twice_cooked_pork,"回锅肉"
unadon_(food),"鳗丼"
century_egg_(food),"皮蛋"
caviar,"鱼子酱"
ikura,"红鱼子酱"
katsuo_no_tataki,"炙烤鲣鱼片"
kani-san_wiener,"蟹状的香肠"
mitsumame,"蜜豆"
hot_cross_bun,"十字包"
noppo_bread,"noppo面包"
black_forest_cake,"黑森林蛋糕"
charlotte_cake,"夏洛特蛋糕"
rare_cheesecake,"生乳酪蛋糕"
brownie,"巧克力布朗尼"
chocolate_framboise,"巧克力红桑子莓"
fondant_au_chocolat,"熔岩巧克力蛋糕"
madeleine,"玛德琳蛋糕"
opera_cake,"歌剧院蛋糕"
pound_cake,"磅蛋糕"
red_velvet_cake,"红丝绒蛋糕"
stollen,"史多伦"
strawberry_swiss_roll,"草莓瑞士卷"
chitose_ame,"千岁饴"
creme_egg,"鸡蛋奶油"
marble_chocolate,"大理石巧克力"
pinata,"皮纳塔"
tootsweets,"甜甜圈"
chocolate_marquise,"女爵巧克力"
takenoko_no_sato,"明治巧克力竹笋饼干"
country_ma'am,"countryma'am"
bavarois,"巴伐利亚奶油"
sakura_french,"樱花甜甜圈"
banana_split,"香蕉冰激凌"
coolish,"coolish"
quadruple_scoop,"四个球的冰淇淋蛋筒"
imagawayaki,"今川烧"
pudding_a_la_mode,"法式布丁"
slushie,"冰沙"
tart,"果馅饼"
blueberry_tart,"蓝莓馅饼"
namagashi,"生菓子"
songpyeon,"松饼"
suama_(food),"蘇阿馬"
uirou,"外郎饼"
warabimochi,"蕨饼"
bok_choy,"白菜"
kimchi,"韩国泡菜"
red_pepper,"红椒"
yellow_pepper,"黄椒"
jalapeno_pepper,"墨西哥辣椒"
jalapeno_(chili),"墨西哥辣椒"
hijiki,"羊栖菜"
warabi,"蕨"
chinese_lantern,"灯笼"
intimate_covering,"自然的打码"
non-intimate_covering,"不自然的打码"
treasure_mark_censor,"宝藏标记打码"
colored_with_greyscale_background,"有色角色与黑白背景"
move_chart,"动作演示图"
seating_chart,"座次表"
photomosaic,"马赛克拼图"
social_media_composition,"社交媒体整合"
chromatic_aberration_abuse,"色差滥用"
archived_file,"压缩包"
eromanga,"色情漫画"
gyotaku_(medium),"鱼拓(介质)"
papercraft,"纸艺"
poster,"海报"
triptych_(art),"三联画(艺术)"
widescreen,"宽屏幕"
atmospheric_perspective,"大气距离感"
amigurumi_(medium),"钩织玩偶/毛线娃娃"
book_cover_(medium),"书本封面"
brushpen_(medium),"毛笔"
chalk_(medium),"粉笔"
clay_(medium),"黏土"
disc_(medium),"碟片"
flame_painter,"flamepainter(工具)"
fudepen_(medium),"墨笔/毛钢笔"
g-pen_(medium),"g笔"
google_sketchup_(medium),"googlesketchup"
graffiti_(medium),"涂鸦"
illustrator_(medium),"illustrator"
leaf_(medium),"树叶"
porcelain_(medium),"瓷器"
swapnote_(medium),"交换笔记"
